unit_number,unit_name,latin_term,latin_genitive,part_of_speech,gender,english_translation,english_definition,german_translation,german_definition,slovak_translation,slovak_definition,notes
3,3rd consonant declension,cortex,corticis,Noun,masculine,cortex,outer portion of an organ,der Kortex,,kôra,,
3,3rd consonant declension,crūs,crūris,Noun,neuter,"1. lower leg 2. anatomical limb-like structure",,der Unterschenkel,,predkolenie,,
3,3rd consonant declension,dislocātiō,dislocātiōnis,Noun,feminine,dislocation,shift in position,die Luxation,,vykĺbenie,,
3,3rd consonant declension,dolor,dolōris,Noun,masculine,pain,,der Schmerz,,bolesť,,
3,3rd consonant declension,extensor,extensoris,Noun,masculine,extensor,muscle stretching a limb,der Extensor,,extenzor,,
3,3rd consonant declension,"fēminīnus, fēminīna, fēminīnum",,Adjective,,female / feminine,,weiblich,,ženský,,
3,3rd consonant declension,femur,femoris,Noun,neuter,"femur, thigh bone",,der Femur,,stehenná kosť,,
3,3rd consonant declension,forāmen,forāminis,Noun,neuter,"opening, aperture",,das Foramen,,otvor,,
3,3rd consonant declension,fovea,foveae,Noun,feminine,"small hollow, pit",,die Grube,,jamka,,
3,3rd consonant declension,fūnctiō,fūnctiōnis,Noun,feminine,function,,die Funktion,,funkcia,,
3,3rd consonant declension,hallūx,hallūcis,Noun,masculine,hallux,great toe,der Hallux,,palec na nohe,,
3,3rd consonant declension,hepar,hepatis,Noun,neuter,liver,,die Leber,,pečeň,,
3,3rd consonant declension,"lacer, lacera, lacerum",,Adjective,,torn / lacerated,,zerrissen,,roztrhnutý,,
3,3rd consonant declension,laesiō,laesiōnis,Noun,feminine,lesion,,die Läsion,,lézia,,
3,3rd consonant declension,"laesus, laesa, laesum",,Adjective,,injured / damaged,,verletzt,,poškodený,,
3,3rd consonant declension,larynx,laryngis,Noun,masculine,larynx,,der Kehlkopf,,hrtán,,
3,3rd consonant declension,latus,lateris,Noun,neuter,side,,die Seite,,strana,,
3,3rd consonant declension,longitūdō,longitūdinis,Noun,feminine,longitude,,die Länge,,dĺžka,,
3,3rd consonant declension,"malignus, maligna, malignum",,Adjective,,malignant / harmful,,bösartig,,zhubný,,
3,3rd consonant declension,mamma,mammae,Noun,feminine,breast,,die Brust,,prsník,,
3,3rd consonant declension,"masculīnus, masculīna, masculīnum",,Adjective,,masculine / male,,männlich,,mužský,,
3,3rd consonant declension,"medius, media, medium",,Adjective,,middle,,mittig,,stredný,,
3,3rd consonant declension,"nervōsus, nervōsa, nervōsum",,Adjective,,nervous / neurotic,,nervös,,nervózny,,
3,3rd consonant declension,"nūtrīcius, nūtrīcia, nūtrīcium",,Adjective,,nourishing,,nährend,,výživný,,
3,3rd consonant declension,(o)esophagus,oesophagī,Noun,masculine,"esophagus, gullet",,die Speiseröhre,,pažerák,,
3,3rd consonant declension,operātiō,operātiōnis,Noun,feminine,"operation, surgery",,die Operation,,operácia,,
3,3rd consonant declension,organum,organī,Noun,neuter,organ,,das Organ,,orgán,,
3,3rd consonant declension,ōs,ōris,Noun,neuter,mouth,,der Mund,,ústa,,
3,3rd consonant declension,ōs,ossis,Noun,neuter,bone,,der Knochen,,kosť,,
3,3rd consonant declension,pectus,pectoris,Noun,neuter,"chest, breast",,die Brust,,hrudník,,
3,3rd consonant declension,pēs,pedis,Noun,masculine,foot,,der Fuß,,chodidlo,,
3,3rd consonant declension,pharynx,pharyngis,Noun,masculine,pharynx,,der Rachen,,hltan,,
3,3rd consonant declension,"plānus, plāna, plānum",,Adjective,,flat,,flach,,plochý,,
3,3rd consonant declension,pollex,pollicis,Noun,masculine,"thumb, first digit of the hand",,der Daumen,,palec ruky,,
3,3rd consonant declension,"postoperātīvus, postoperātīva, postoperātīvum",,Adjective,,postoperative,occurring after operation,postoperativ,,pooperačný,,
3,3rd consonant declension,"prīmārius, prīmāria, prīmārium",,Adjective,,primary,,primär,,primárny,,
3,3rd consonant declension,pulmō,pulmōnis,Noun,masculine,lung,,die Lunge,,pľúca,,
3,3rd consonant declension,pulvis,pulveris,Noun,masculine,powder,,das Pulver,,prášok,,
3,3rd consonant declension,"pūnctus, pūncta, pūnctum",,Adjective,,stabbed,,gestochen,,bodný,,
3,3rd consonant declension,pūs,pūris,Noun,neuter,pus,,der Eiter,,hnis,,
3,3rd consonant declension,rādix,rādicis,Noun,feminine,root,,die Wurzel,,koreň,,
3,3rd consonant declension,rēgiō,rēgiōnis,Noun,feminine,region,,die Region,,oblasť,,
3,3rd consonant declension,rēn,rēnis,Noun,masculine,kidney,,die Niere,,oblička,,
3,3rd consonant declension,"scissus, scissa, scissum",,Adjective,,cleft / separated by cutting,,gespalten,,rozštiepený,,
3,3rd consonant declension,"sectus, secta, sectum",,Adjective,,cut,,geschnitten,,rezaný,,
3,3rd consonant declension,"secundārius, secundāria, secundārium",,Adjective,,secondary,,sekundär,,sekundárny,,
3,3rd consonant declension,septum,septī,Noun,neuter,"septum, partition",,das Septum,,prepážka,,
3,3rd consonant declension,tempora,temporum,Noun,neuter plural,temples,,die Schläfen,,spánky,,
3,3rd consonant declension,tendō,tendinis,Noun,masculine,tendon,,die Sehne,,šľacha,,
3,3rd consonant declension,thorāx,thorācis,Noun,masculine,thorax,part of the trunk between neck and abdomen,der Thorax,,hrudník,,
3,3rd consonant declension,tuba,tubae,Noun,feminine,tube,,die Röhre,,trubica,,
