atc_code,atc_name,parent_code,level
D07C,"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS",D07,3
D07X,"CORTICOSTEROIDS, OTHER COMBINATIONS",D07,3
D08A,ANTISEPTICS AND DISINFECTANTS,D08,3
D09A,MEDICATED DRESSINGS,D09,3
D10A,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,D10,3
D10B,ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE,D10,3
D11A,OTHER DERMATOLOGICAL PREPARATIONS,D11,3
D01AA,Antibiotics,D01A,4
D01AC,Imidazole and triazole derivatives,D01A,4
D01AE,Other antifungals for topical use,D01A,4
D01BA,Antifungals for systemic use,D01B,4
D02AA,Silicone products,D02A,4
D02AB,Zinc products,D02A,4
D02AC,Soft paraffin and fat products,D02A,4
D02AD,Liquid plasters,D02A,4
D02AE,Carbamide products,D02A,4
D02AF,Salicylic acid preparations,D02A,4
D02AX,Other emollients and protectives,D02A,4
D02BA,Protectives against UV-radiation for topical use,D02B,4
D02BB,Protectives against UV-radiation for systemic use,D02B,4
D03AA,Cod-liver oil ointments,D03A,4
D03AX,Other cicatrizants,D03A,4
D03BA,Proteolytic enzymes,D03B,4
D04AA,Antihistamines for topical use,D04A,4
D04AB,Anesthetics for topical use,D04A,4
D04AX,Other antipruritics,D04A,4
D05AA,Tars,D05A,4
D05AC,Antracen derivatives,D05A,4
D05AD,Psoralens for topical use,D05A,4
D05AX,Other antipsoriatics for topical use,D05A,4
D05BA,Psoralens for systemic use,D05B,4
D05BB,Retinoids for treatment of psoriasis,D05B,4
D05BX,Other antipsoriatics for systemic use,D05B,4
D06AA,Tetracycline and derivatives,D06A,4
D06AX,Other antibiotics for topical use,D06A,4
D06BA,Sulfonamides,D06B,4
D06BB,Antivirals,D06B,4
D06BX,Other chemotherapeutics,D06B,4
D07AA,"Corticosteroids, weak (group I)",D07A,4
D07AB,"Corticosteroids, moderately potent (group II)",D07A,4
D07AC,"Corticosteroids, potent (group III)",D07A,4
D07AD,"Corticosteroids, very potent (group IV)",D07A,4
D07BA,"Corticosteroids, weak, combinations with antiseptics",D07B,4
D07BB,"Corticosteroids, moderately potent, combinations with antiseptics",D07B,4
D07BC,"Corticosteroids, potent, combinations with antiseptics",D07B,4
D07BD,"Corticosteroids, very potent, combinations with antiseptics",D07B,4
D07CA,"Corticosteroids, weak, combinations with antibiotics",D07C,4
D07CB,"Corticosteroids, moderately potent, combinations with antibiotics",D07C,4
D07CC,"Corticosteroids, potent, combinations with antibiotics",D07C,4
D07CD,"Corticosteroids, very potent, combinations with antibiotics",D07C,4
D07XA,"Corticosteroids, weak, other combinations",D07X,4
D07XB,"Corticosteroids, moderately potent, other combinations",D07X,4
D07XC,"Corticosteroids, potent, other combinations",D07X,4
D07XD,"Corticosteroids, very potent, other combinations",D07X,4
D08AA,Acridine derivatives,D08A,4
D08AB,Aluminium agents,D08A,4
D08AC,Biguanides and amidines,D08A,4
D08AD,Boric acid products,D08A,4
D08AE,Phenol and derivatives,D08A,4
D08AF,Nitrofuran derivatives,D08A,4
D08AG,Iodine products,D08A,4
D08AH,Quinoline derivatives,D08A,4
D08AJ,Quaternary ammonium compounds,D08A,4
D08AK,Mercurial products,D08A,4
D08AL,Silver compounds,D08A,4
D08AX,Other antiseptics and disinfectants,D08A,4
D09AA,Medicated dressings with antiinfectives,D09A,4
D09AB,Zinc bandages,D09A,4
D09AX,Soft paraffin dressings,D09A,4
D10AA,"Corticosteroids, combinations for treatment of acne",D10A,4
D10AB,Preparations containing sulfur,D10A,4
D10AD,Retinoids for topical use in acne,D10A,4
D10AE,Peroxides,D10A,4
D10AF,Antiinfectives for treatment of acne,D10A,4
D10AX,Other anti-acne preparations for topical use,D10A,4
D10BA,Retinoids for treatment of acne,D10B,4
D10BX,Other anti-acne preparations for systemic use,D10B,4
D11AA,Antihidrotics,D11A,4
D11AC,Medicated shampoos,D11A,4
